"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","1.03","1.02","1.04","1.05","1.02","1.03","1.06","0.96"
"2","1.09","1.10","1.14","1.15","1.14","1.14","1.16","1.12"
"3","1.23","1.25","1.36","1.32","1.33","1.40","1.37","1.34"
"4","1.43","1.47","1.60","1.56","1.59","1.69","1.64","1.68"
"5","1.95","2.04","2.24","2.26","2.22","2.35","2.36","2.36"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","1.00","1.00","1.03","1.01","1.03","1.04","1.05","0.97"
"8","1.08","1.04","1.13","1.10","1.06","1.15","1.13","1.04"
"9","1.17","1.19","1.26","1.24","1.16","1.26","1.27","1.20"
"10","1.18","1.21","1.42","1.36","1.37","1.42","1.40","1.37"
"11","1.52","1.62","1.86","1.85","1.87","1.94","1.92","1.87"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","0.83","0.84","0.94","0.95","0.91","0.96","0.96","0.88"
"14","0.84","0.84","1.04","0.99","0.96","1.06","1.01","0.96"
"15","0.72","0.72","0.99","0.94","0.97","1.04","0.95","1.01"
"16","0.83","0.85","1.15","1.10","1.22","1.16","1.12","1.23"
"17","0.74","0.77","0.99","0.96","1.07","1.05","1.02","1.13"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","0.95","0.94","0.96","0.95","0.94","0.92","0.98","0.89"
"20","0.92","0.93","0.98","1.01","0.96","0.99","1.04","0.92"
"21","0.89","0.92","0.96","0.98","1.00","0.98","1.01","0.99"
"22","0.83","0.85","0.97","0.97","1.04","0.99","1.00","1.07"
"23","0.76","0.77","0.93","0.95","1.10","0.98","1.04","1.15"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","0.90","0.89","0.92","0.94","0.94","0.91","0.96","0.91"
"26","0.85","0.86","0.93","0.94","0.95","0.94","0.98","0.92"
"27","0.84","0.88","0.90","0.92","0.95","0.94","0.98","0.97"
"28","0.74","0.76","0.89","0.91","0.96","0.92","0.96","1.02"
"29","0.68","0.70","0.84","0.85","0.93","0.88","0.92","0.93"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"31","0.92","0.92","0.93","0.93","0.92","0.93","0.94","0.88"
"32","0.84","0.85","0.93","0.92","0.92","0.95","0.96","0.90"
"33","0.83","0.84","0.90","0.91","0.90","0.90","0.93","0.92"
"34","0.71","0.75","0.86","0.87","0.92","0.88","0.93","0.95"
"35","0.64","0.66","0.75","0.78","0.86","0.78","0.83","0.91"
